r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.5882,1.0,1.0,0.0,0.0,0.0
1.5889,1.0,1.0,0.0,0.0,0.0
1.5896,1.0,1.0,0.0,0.0,0.0
1.5903,1.0,1.0,0.0,0.0,0.0
1.591,1.0,1.0,0.0,0.0,0.0
1.5917,1.0,1.0,0.0,0.0,0.0
1.5924,1.0,1.0,0.0,0.0,0.0
1.5931,1.0,1.0,0.0,0.0,0.0
1.5937999999999999,1.0,1.0,0.0,0.0,0.0
1.5945,1.0,1.0,0.0,0.0,0.0
1.5952,1.0,1.0,0.0,0.0,0.0
1.5959,1.0,1.0,0.0,0.0,0.0
1.5966,1.0,1.0,0.0,0.0,0.0
1.5973,1.0,1.0,0.0,0.0,0.0
1.598,1.0,1.0,0.0,0.0,0.0
1.5987,1.0,1.0,0.0,0.0,0.0
1.5994,1.0,1.0,0.0,0.0,0.0
1.6001,1.0,1.0,0.0,0.0,0.0
1.6008,1.0,1.0,0.0,0.0,0.0
1.6015,1.0,1.0,0.0,0.0,0.0
1.6022,1.0,1.0,0.0,0.0,0.0
1.6029,1.0,1.0,0.0,0.0,0.0
1.6036,1.0,1.0,0.0,0.0,0.0
1.6043,1.0,1.0,0.0,0.0,0.0
1.605,1.0,1.0,0.0,0.0,0.0
1.6057,1.0,1.0,0.0,0.0,0.0
1.6064,1.0,1.0,0.0,0.0,0.0
1.6071,1.0,1.0,0.0,0.0,0.0
1.6078,1.0,1.0,0.0,0.0,0.0
1.6085,1.0,1.0,0.0,0.0,0.0
1.6092,1.0,1.0,0.0,0.0,0.0
1.6099,1.0,1.0,0.0,0.0,0.0
1.6106,1.0,1.0,0.0,0.0,0.0
1.6113,1.0,1.0,0.0,0.0,0.0
1.612,1.0,1.0,0.0,0.0,0.0
1.6127,1.0,1.0,0.0,0.0,0.0
1.6134,1.0,1.0,0.0,0.0,0.0
1.6141,1.0,1.0,0.0,0.0,0.0
1.6148,1.0,1.0,0.0,0.0,0.0
1.6155,1.0,1.0,0.0,0.0,0.0
1.6162,1.0,1.0,0.0,0.0,0.0
1.6169,1.0,1.0,0.0,0.0,0.0
1.6176,1.0,1.0,0.0,0.0,0.0
1.6183,1.0,1.0,0.0,0.0,0.0
1.619,1.0,1.0,0.0,0.0,0.0
1.6197,1.0,1.0,0.0,0.0,0.0
1.6204,1.0,1.0,0.0,0.0,0.0
1.6211,1.0,1.0,0.0,0.0,0.0
1.6218,1.0,1.0,0.0,0.0,0.0
1.6225,1.0,1.0,0.0,0.0,0.0
1.6232,1.0,1.0,0.0,0.0,0.0
1.6239,1.0,1.0,0.0,0.0,0.0
1.6246,1.0,1.0,0.0,0.0,0.0
1.6253,1.0,1.0,0.0,0.0,0.0
1.626,1.0,1.0,0.0,0.0,0.0
1.6267,1.0,1.0,0.0,0.0,0.0
1.6274,1.0,1.0,0.0,0.0,0.0
1.6280999999999999,1.0,1.0,0.0,0.0,0.0
1.6288,1.0,1.0,0.0,0.0,0.0
1.6295,1.0,1.0,0.0,0.0,0.0
1.6302,1.0,1.0,0.0,0.0,0.0
1.6309,1.0,1.0,0.0,0.0,0.0
1.6316,1.0,1.0,0.0,0.0,0.0
1.6323,1.0,1.0,0.0,0.0,0.0
1.633,1.0,1.0,0.0,0.0,0.0
1.6337,1.0,1.0,0.0,0.0,0.0
1.6344,1.0,1.0,0.0,0.0,0.0
1.6351,1.0,1.0,0.0,0.0,0.0
1.6358,1.0,1.0,0.0,0.0,0.0
1.6365,1.0,1.0,0.0,0.0,0.0
1.6372,1.0,1.0,0.0,0.0,0.0
1.6379,1.0,1.0,0.0,0.0,0.0
1.6386,1.0,1.0,0.0,0.0,0.0
1.6393,1.0,1.0,0.0,0.0,0.0
1.64,1.0,1.0,0.0,0.0,0.0
1.6407,1.0,1.0,0.0,0.0,0.0
1.6414,1.0,1.0,0.0,0.0,0.0
1.6421000000000001,1.0,1.0,0.0,0.0,0.0
1.6428,1.0,1.0,0.0,0.0,0.0
