Xi_max,alpha,D_SSZ(r=2rs)
8.000000000000000444e-01,8.000000000000000444e-01,6.926341984863358947e-01
8.000000000000000444e-01,1.000000000000000000e+00,6.926341984863358947e-01
8.000000000000000444e-01,1.199999999999999956e+00,6.926341984863358947e-01
1.000000000000000000e+00,8.000000000000000444e-01,6.432090798909488871e-01
1.000000000000000000e+00,1.000000000000000000e+00,6.432090798909488871e-01
1.000000000000000000e+00,1.199999999999999956e+00,6.432090798909488871e-01
1.199999999999999956e+00,8.000000000000000444e-01,6.003679156828607422e-01
1.199999999999999956e+00,1.000000000000000000e+00,6.003679156828607422e-01
1.199999999999999956e+00,1.199999999999999956e+00,6.003679156828607422e-01
