source,frequency_Hz,flux_density_Jy,flux_error_Jy,M_solar,r_emit_m,instrument,observation_date
M87,15000000000.0,26.3,2.6300000000000003,6500000000.0,12000000000000.0,2011ApJS..194...29R,unknown
M87,15100000000.0,1.92,0.192,6500000000.0,12000000000000.0,2004ApJ...612..749Z,unknown
M87,15400000000.0,2.74,0.274,6500000000.0,12000000000000.0,2005AJ....130.1389L,unknown
M87,16100000000.0,24.5,2.45,6500000000.0,12000000000000.0,2009MNRAS.400..984D,unknown
M87,21700000000.0,20.1,2.0100000000000002,6500000000.0,12000000000000.0,2017ApJS..228...22L,unknown
M87,21700000000.0,19.9,1.99,6500000000.0,12000000000000.0,2017ApJS..228...22L,unknown
M87,22000000000.0,20.0,2.0,6500000000.0,12000000000000.0,1990PKS90.C...0000W,unknown
M87,22000000000.0,0.77,0.07700000000000001,6500000000.0,12000000000000.0,2007AJ....133.2487P,unknown
M87,22000000000.0,0.54,0.054000000000000006,6500000000.0,12000000000000.0,2007AJ....133.2487P,unknown
M87,23000000000.0,19.7,1.97,6500000000.0,12000000000000.0,2009ApJS..180..283W,unknown
M87,23000000000.0,19.7,1.97,6500000000.0,12000000000000.0,2003ApJS..148...97B,unknown
M87,23000000000.0,20.8,2.08,6500000000.0,12000000000000.0,2011ApJS..192...15G,unknown
M87,31600000000.0,16.9,1.69,6500000000.0,12000000000000.0,1975ApJ...196..347H,unknown
M87,33000000000.0,17.7,1.77,6500000000.0,12000000000000.0,2009MNRAS.400..984D,unknown
M87,33000000000.0,15.8,1.58,6500000000.0,12000000000000.0,2003ApJS..148...97B,unknown
M87,33000000000.0,16.1,1.6100000000000003,6500000000.0,12000000000000.0,2011ApJS..192...15G,unknown
M87,33000000000.0,15.5,1.55,6500000000.0,12000000000000.0,2009ApJS..180..283W,unknown
M87,36800000000.0,14.0,1.4000000000000001,6500000000.0,12000000000000.0,2011A&A...536A..15P,unknown
M87,37000000000.0,14.0,1.4000000000000001,6500000000.0,12000000000000.0,2011A&A...535A..69N,unknown
M87,41000000000.0,3.66,0.36600000000000005,6500000000.0,12000000000000.0,2009MNRAS.392..733M,unknown
M87,41000000000.0,13.1,1.31,6500000000.0,12000000000000.0,2003ApJS..148...97B,unknown
M87,41000000000.0,13.5,1.35,6500000000.0,12000000000000.0,2011ApJS..192...15G,unknown
M87,41000000000.0,13.3,1.33,6500000000.0,12000000000000.0,2009ApJS..180..283W,unknown
M87,41000000000.0,13.1,1.31,6500000000.0,12000000000000.0,2009A&A...508..107G,unknown
M87,41000000000.0,12.7,1.27,6500000000.0,12000000000000.0,2009ApJ...694..222C,unknown
M87,42400000000.0,10.5,1.05,6500000000.0,12000000000000.0,2017ApJS..228...22L,unknown
M87,42400000000.0,10.8,1.08,6500000000.0,12000000000000.0,2017ApJS..228...22L,unknown
M87,61000000000.0,9.7,0.97,6500000000.0,12000000000000.0,2011ApJS..192...15G,unknown
M87,61000000000.0,9.2,0.9199999999999999,6500000000.0,12000000000000.0,2003ApJS..148...97B,unknown
M87,61000000000.0,9.5,0.9500000000000001,6500000000.0,12000000000000.0,2009ApJ...694..222C,unknown
M87,61000000000.0,9.4,0.9400000000000001,6500000000.0,12000000000000.0,2008ApJ...681..747C,unknown
M87,61000000000.0,9.7,0.97,6500000000.0,12000000000000.0,2009ApJS..180..283W,unknown
M87,77000000000.0,10.4,1.04,6500000000.0,12000000000000.0,1987A&AS...71..125T,unknown
M87,85700000000.0,8.55,0.8550000000000001,6500000000.0,12000000000000.0,1975ApJ...196..347H,unknown
M87,86000000000.0,4.16,0.41600000000000004,6500000000.0,12000000000000.0,2008AJ....136..159L,unknown
M87,86000000000.0,3.06,0.30600000000000005,6500000000.0,12000000000000.0,2010ApJS..189....1A,unknown
M87,86200000000.0,4.46,0.446,6500000000.0,12000000000000.0,2014A&A...566A..59A,unknown
M87,89000000000.0,1.88,0.188,6500000000.0,12000000000000.0,2005MNRAS.363..692D,unknown
M87,89600000000.0,6.78,0.678,6500000000.0,12000000000000.0,1981AJ.....86.1306G,unknown
M87,90000000000.0,9.1,0.91,6500000000.0,12000000000000.0,2009ApJ...701.1872C,unknown
M87,94000000000.0,6.2,0.6200000000000001,6500000000.0,12000000000000.0,2009ApJS..180..283W,unknown
M87,94000000000.0,6.5,0.65,6500000000.0,12000000000000.0,2011ApJS..192...15G,unknown
M87,94000000000.0,7.2,0.7200000000000001,6500000000.0,12000000000000.0,2009ApJ...694..222C,unknown
M87,94000000000.0,5.3,0.53,6500000000.0,12000000000000.0,2003ApJS..148...97B,unknown
M87,99900000000.0,2.35,0.23500000000000001,6500000000.0,12000000000000.0,2010A&A...518A...9O,unknown
M87,100000000000.0,0.5,0.05,6500000000.0,12000000000000.0,1998AJ....116....8L,unknown
M87,100000000000.0,0.73,0.073,6500000000.0,12000000000000.0,1998AJ....116....8L,unknown
M87,229000000000.0,1.51,0.15100000000000002,6500000000.0,12000000000000.0,2014A&A...566A..59A,unknown
M87,300000000000.0,1.31,0.131,6500000000.0,12000000000000.0,2010A&A...518A...9O,unknown
M87,600000000000.0,1.43,0.143,6500000000.0,12000000000000.0,2010A&A...518L..53B,unknown
M87,600000000000.0,1.28,0.128,6500000000.0,12000000000000.0,2014ApJ...783..135A,unknown
