r_over_rs,D_GR,D_SSZ,Xi
3.765691423,0.856997385,0.500565285,0.997741415
3.766691673,0.857038527,0.500564369,0.997745067
3.767691923,0.857079645,0.500563456,0.997748714
3.768692173,0.857120739,0.500562544,0.997752354
3.769692423,0.857161810,0.500561633,0.997755989
3.770692673,0.857202856,0.500560724,0.997759618
3.771692923,0.857243879,0.500559816,0.997763241
3.772693173,0.857284879,0.500558910,0.997766858
3.773693423,0.857325854,0.500558005,0.997770469
3.774693673,0.857366806,0.500557101,0.997774075
3.775693923,0.857407734,0.500556199,0.997777674
3.776694174,0.857448639,0.500555299,0.997781268
3.777694424,0.857489520,0.500554400,0.997784856
3.778694674,0.857530377,0.500553502,0.997788438
3.779694924,0.857571211,0.500552606,0.997792015
3.780695174,0.857612022,0.500551712,0.997795585
3.781695424,0.857652808,0.500550819,0.997799150
3.782695674,0.857693572,0.500549927,0.997802709
3.783695924,0.857734311,0.500549037,0.997806263
3.784696174,0.857775028,0.500548148,0.997809810
3.785696424,0.857815720,0.500547260,0.997813352
3.786696674,0.857856390,0.500546374,0.997816888
3.787696924,0.857897036,0.500545490,0.997820418
3.788697174,0.857937659,0.500544607,0.997823943
3.789697424,0.857978258,0.500543725,0.997827462
3.790697674,0.858018834,0.500542845,0.997830975
3.791697924,0.858059386,0.500541966,0.997834483
3.792698175,0.858099916,0.500541089,0.997837985
3.793698425,0.858140422,0.500540213,0.997841481
3.794698675,0.858180904,0.500539338,0.997844972
3.795698925,0.858221364,0.500538465,0.997848457
3.796699175,0.858261800,0.500537593,0.997851936
3.797699425,0.858302213,0.500536723,0.997855410
3.798699675,0.858342603,0.500535854,0.997858878
3.799699925,0.858382970,0.500534987,0.997862340
3.800700175,0.858423313,0.500534121,0.997865797
3.801700425,0.858463634,0.500533256,0.997869248
3.802700675,0.858503931,0.500532393,0.997872694
3.803700925,0.858544205,0.500531531,0.997876134
3.804701175,0.858584457,0.500530670,0.997879569
3.805701425,0.858624685,0.500529811,0.997882998
3.806701675,0.858664890,0.500528954,0.997886421
3.807701925,0.858705072,0.500528097,0.997889839
3.808702176,0.858745231,0.500527242,0.997893252
3.809702426,0.858785367,0.500526389,0.997896659
3.810702676,0.858825481,0.500525537,0.997900060
3.811702926,0.858865571,0.500524686,0.997903456
3.812703176,0.858905638,0.500523837,0.997906846
3.813703426,0.858945683,0.500522989,0.997910231
3.814703676,0.858985704,0.500522142,0.997913610
3.815703926,0.859025703,0.500521297,0.997916984
3.816704176,0.859065679,0.500520453,0.997920353
3.817704426,0.859105632,0.500519610,0.997923716
3.818704676,0.859145563,0.500518769,0.997927074
3.819704926,0.859185470,0.500517929,0.997930426
3.820705176,0.859225355,0.500517091,0.997933773
3.821705426,0.859265217,0.500516254,0.997937114
3.822705676,0.859305057,0.500515418,0.997940450
3.823705926,0.859344874,0.500514584,0.997943780
3.824706177,0.859384668,0.500513751,0.997947106
3.825706427,0.859424439,0.500512919,0.997950425
3.826706677,0.859464188,0.500512089,0.997953740
3.827706927,0.859503914,0.500511260,0.997957049
3.828707177,0.859543618,0.500510432,0.997960353
3.829707427,0.859583299,0.500509606,0.997963651
3.830707677,0.859622957,0.500508781,0.997966944
3.831707927,0.859662593,0.500507958,0.997970232
3.832708177,0.859702207,0.500507135,0.997973514
3.833708427,0.859741798,0.500506314,0.997976791
3.834708677,0.859781366,0.500505495,0.997980063
3.835708927,0.859820912,0.500504676,0.997983330
3.836709177,0.859860436,0.500503860,0.997986591
3.837709427,0.859899937,0.500503044,0.997989847
3.838709677,0.859939415,0.500502230,0.997993097
3.839709927,0.859978872,0.500501417,0.997996343
3.840710178,0.860018306,0.500500605,0.997999583
3.841710428,0.860057718,0.500499795,0.998002818
