alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.57777777778,uniform,349.6661543243373,283.1014476819324,2.5600000000000005,False,False,False,-347.1061543243373,289.9882390833172,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.57777777778,uniform,349.6661543240826,289.9881290780542,0.0,False,False,False,-349.6661543240826,289.98823908310453,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.57777777778,uniform,349.6661543240826,283.1014476817198,2.5600000000000005,False,False,False,-347.1061543240826,289.98823908310453,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.78888888889,uniform,398.04965198266325,330.38653885161415,0.0,False,False,False,-398.04965198266325,330.38664885666446,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.78888888889,uniform,398.04965198266325,323.4998574552797,2.5600000000000005,False,False,False,-395.48965198266325,330.38664885666446,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,1.78888888889,uniform,398.04965198240865,330.38653885140155,0.0,False,False,False,-398.04965198240865,330.38664885645187,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,1.78888888889,uniform,398.04965198240865,323.4998574550671,2.5600000000000005,False,False,False,-395.48965198240865,330.38664885645187,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,2.0,uniform,446.43314964073454,370.7849486247487,0.0,False,False,False,-446.43314964073454,370.78505862979904,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,2.0,uniform,446.43314964073454,363.8982672284143,2.5600000000000005,False,False,False,-443.87314964073454,370.78505862979904,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,2.0,uniform,446.43314964073454,370.7849486247487,0.0,False,False,False,-446.43314964073454,370.78505862979904,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,2.0,uniform,446.43314964073454,363.8982672284143,2.5600000000000005,False,False,False,-443.87314964073454,370.78505862979904,6.886681396334464,-0.00011000505033366343
