object,f_emit_Hz,f_obs_Hz,N_seg,z_gr,rel_error,delta_m_corr
S2 star (Sag A*),138400000000000.0,138300000000000.0,0.0007230657989877079,0.0007230657989877079,1.94e-51,0.0005849725194323553
White dwarf (Sirius B),456800000000000.0,456700000000000.0,0.0002189621195533173,0.0002189621195533173,1.247e-50,0.00017714407584299265
Sun (solar line),475900000000000.0,475900000000000.0,0.0,0.0,0.0,0.0
Pound-Rebka (1959),3.482e+18,3.482e+18,0.0,0.0,0.0,0.0
Earth surface test,457000000000000.0,457000000000000.0,0.0,0.0,0.0,0.0
