case,category,z_data,r_eff_source,r_eff_m,v_pred_source,v_pred_mps,strong_pred,z_pred,dz_seg_pred,z_GR,dz_GR,z_SR,dz_SR,z_comb,dz_comb,N_seg,delta_Nseg_zgr,pass_recon,notes
S2_SgrA*,S-stars,0.0006671281903963,"r(a,e,f_true)",17712385730000.0,"vis‑viva(a,r_eff)",7788997.3054507105,True,0.000696205928863991,-2.9077738467691043e-05,0.0003584306180175467,0.00030869757237875326,0.0003376849025948925,0.0003294432878014075,0.0006962365572207307,-2.910836682443077e-05,,,,
S29_SgrA*,S-stars,7.11810937787e-05,"r(a,e,f_true)",142447080000000.0,"vis‑viva(a,r_eff)",2630208.3596835635,True,8.299047798487891e-05,-1.180938420617891e-05,4.4547586822041296e-05,2.66335069566587e-05,3.848876523471212e-05,3.269232854398788e-05,8.303806663834123e-05,-1.1856972859641238e-05,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S38_SgrA*,S-stars,0.0003300885322974,"r(a,e,f_true)",31176202259999.992,"vis‑viva(a,r_eff)",5770069.9742507,True,0.0003889104253920195,-5.88218930946195e-05,0.00020359078462206526,0.00012649774767533472,0.00018527270386936578,0.0001448158284280342,0.00038890120830648023,-5.881267600908025e-05,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S62_SgrA*,S-stars,0.0039759410662086,"r(a,e,f_true)",2657138400000.001,"vis‑viva(a,r_eff)",20593560.62219,True,0.004770002406793372,-0.0007940613405847717,0.0023965892020947344,0.001579351864113866,0.0023677279100839943,0.0016082131561246061,0.004769991583321476,-0.0007940505171128752,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S4711_SgrA*,S-stars,0.0004798593386547,"r(a,e,f_true)",21490633280000.0,"vis‑viva(a,r_eff)",6849542.8028297685,True,0.0005565861293264085,-7.67267906717085e-05,0.00029538735214540424,0.00018447198650929576,0.0002611089977284653,0.0002187503409262347,0.0005565734781693976,-7.671413951469762e-05,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S4712_SgrA*,S-stars,2.87107237694e-05,"r(a,e,f_true)",353994102000000.06,"vis‑viva(a,r_eff)",1482361.859768019,True,3.0125110708212333e-05,-1.414386938812331e-06,1.7925214677250167e-05,1.0785509092149834e-05,1.2224891882572919e-05,1.6485831886827082e-05,3.0150325693645286e-05,-1.4396019242452842e-06,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S4713_SgrA*,S-stars,6.30516350636e-05,"r(a,e,f_true)",160528787100000.0,"vis‑viva(a,r_eff)",2190767.414524931,True,6.620273171065172e-05,-3.1510966470517143e-06,3.952952000996213e-05,2.3522115053637878e-05,2.6701676994367318e-05,3.6349958069232686e-05,6.623225250890208e-05,-3.180617445302074e-06,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S4714_SgrA*,S-stars,0.0056009940879038,"r(a,e,f_true)",1887971999999.9998,"vis‑viva(a,r_eff)",24486546.68291465,True,0.0067416823118680025,-0.0011406882239642022,0.003377919985408262,0.0022230741024955383,0.003352458043841766,0.002248536044062034,0.006741702364276625,-0.0011407082763728246,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
S4715_SgrA*,S-stars,7.5551167671e-05,"r(a,e,f_true)",133741534800000.02,"vis‑viva(a,r_eff)",2305924.775943279,True,7.698412479717476e-05,-1.4329571261747533e-06,4.7447498451091974e-05,2.810366921990803e-05,2.9582722576249054e-05,4.596844509475095e-05,7.703162465344526e-05,-1.4804569824452586e-06,,,,Hinweis: v_los_mps fehlt → nur transversale Komponente in SR.
