r_over_rs,r_m,m_geom_m,Phi,rho_fl,pr_fl,pt_fl,phi,phip,Zpar,U,X,rho_phi,pr_phi,pt_phi,Delta_phi,rho_tot,pr_tot,pt_tot,one_minus_2m_over_r
1.8203517588e+00,5.3761165385e+03,1.4766696910e+03,1.1236956045e+00,-3.7462378498e-28,-1.1238713549e-28,-1.1238713549e-28,1.0000005289e-04,2.8046308395e-14,1.0000002999e+00,1.4993361979e-22,3.5448364784e-28,1.4993379704e-22,-1.4993344255e-22,-1.4993379704e-22,-3.5448375415e-28,1.4993342241e-22,-1.4993355494e-22,-1.4993390942e-22,4.5065562457e-01
1.8753768844e+00,5.5386244090e+03,1.4766696910e+03,1.1412262702e+00,-4.1644788513e-28,-1.2493436554e-28,-1.2493436554e-28,1.0000005745e-04,2.8142513423e-14,1.0000002999e+00,1.4993364261e-22,3.6968538307e-28,1.4993382745e-22,-1.4993345777e-22,-1.4993382745e-22,-3.6968549395e-28,1.4993341100e-22,-1.4993358270e-22,-1.4993395239e-22,4.6677384780e-01
1.9304020101e+00,5.7011322795e+03,1.4766696910e+03,1.1573150391e+00,-4.5872831796e-28,-1.3761849539e-28,-1.3761849539e-28,1.0000006203e-04,2.8224525132e-14,1.0000002999e+00,1.4993366549e-22,3.8395132129e-28,1.4993385747e-22,-1.4993347351e-22,-1.4993385747e-22,-3.8395143642e-28,1.4993339874e-22,-1.4993361113e-22,-1.4993399508e-22,4.8197318756e-01
1.9854271357e+00,5.8636401500e+03,1.4766696910e+03,1.1719364298e+00,-5.0143949017e-28,-1.5043184705e-28,-1.5043184705e-28,1.0000006663e-04,2.8295461911e-14,1.0000002999e+00,1.4993368844e-22,3.9737829310e-28,1.4993388713e-22,-1.4993348975e-22,-1.4993388713e-22,-3.9737841226e-28,1.4993338569e-22,-1.4993364018e-22,-1.4993403756e-22,4.9633004303e-01
2.0404522613e+00,6.0261480205e+03,1.4766696910e+03,1.1854730767e+00,-5.4444776487e-28,-1.6333432946e-28,-1.6333432946e-28,1.0000007123e-04,2.8360548748e-14,1.0000002999e+00,1.4993371144e-22,4.1013325002e-28,1.4993391650e-22,-1.4993350637e-22,-1.4993391650e-22,-4.1013337303e-28,1.4993337206e-22,-1.4993366971e-22,-1.4993407984e-22,5.0991257234e-01
2.0954773869e+00,6.1886558911e+03,1.4766696910e+03,1.1979194291e+00,-5.8773765524e-28,-1.7632129657e-28,-1.7632129657e-28,1.0000007584e-04,2.8421988099e-14,1.0000002999e+00,1.4993373449e-22,4.2230803558e-28,1.4993394564e-22,-1.4993352334e-22,-1.4993394564e-22,-4.2230816221e-28,1.4993335791e-22,-1.4993369966e-22,-1.4993412197e-22,5.2278177458e-01
2.1505025126e+00,6.3511637616e+03,1.4766696910e+03,1.2094567167e+00,-6.3125204930e-28,-1.8937561479e-28,-1.8937561479e-28,1.0000008047e-04,2.8482193575e-14,1.0000002999e+00,1.4993375759e-22,4.3400475189e-28,1.4993397459e-22,-1.4993354059e-22,-1.4993397459e-22,-4.3400488203e-28,1.4993334334e-22,-1.4993372997e-22,-1.4993416397e-22,5.3499240565e-01
2.2055276382e+00,6.5136716321e+03,1.4766696910e+03,1.2202265253e+00,-6.7495137505e-28,-2.0248541251e-28,-2.0248541251e-28,1.0000008510e-04,2.8542752506e-14,1.0000002999e+00,1.4993378074e-22,4.4530376869e-28,1.4993400339e-22,-1.4993355809e-22,-1.4993400339e-22,-4.4530390225e-28,1.4993332844e-22,-1.4993376057e-22,-1.4993420588e-22,5.4659375712e-01
2.2605527638e+00,6.6761795026e+03,1.4766696910e+03,1.2301950833e+00,-7.1884353941e-28,-2.1565306182e-28,-2.1565306182e-28,1.0000008975e-04,2.8605163940e-14,1.0000002999e+00,1.4993380394e-22,4.5628402378e-28,1.4993403208e-22,-1.4993357580e-22,-1.4993403208e-22,-4.5628416061e-28,1.4993331324e-22,-1.4993379145e-22,-1.4993424774e-22,5.5763032122e-01
2.3155778894e+00,6.8386873731e+03,1.4766696910e+03,1.2395221817e+00,-7.6289406857e-28,-2.2886822057e-28,-2.2886822057e-28,1.0000009440e-04,2.8670221293e-14,1.0000002999e+00,1.4993382720e-22,4.6700256075e-28,1.4993406070e-22,-1.4993359369e-22,-1.4993406070e-22,-4.6700270079e-28,1.4993329780e-22,-1.4993382256e-22,-1.4993428956e-22,5.6814236111e-01
2.3706030151e+00,7.0011952437e+03,1.4766696910e+03,1.2482795651e+00,-8.0709212166e-28,-2.4212763650e-28,-2.4212763650e-28,1.0000009906e-04,2.8738528267e-14,1.0000002999e+00,1.4993385050e-22,4.7750936968e-28,1.4993408926e-22,-1.4993361175e-22,-1.4993408926e-22,-4.7750951286e-28,1.4993328216e-22,-1.4993385387e-22,-1.4993433138e-22,5.7816640170e-01
2.4256281407e+00,7.1637031142e+03,1.4766696910e+03,1.2565132686e+00,-8.5143519032e-28,-2.5543055710e-28,-2.5543055710e-28,1.0000010374e-04,2.8810599243e-14,1.0000002999e+00,1.4993387386e-22,4.8785034881e-28,1.4993411779e-22,-1.4993362994e-22,-1.4993411779e-22,-4.8785049512e-28,1.4993326635e-22,-1.4993388537e-22,-1.4993437322e-22,5.8773565362e-01
