r_over_rs,r_m,m_geom_m,Phi,rho_fl,pr_fl,pt_fl,phi,phip,Zpar,U,X,rho_phi,pr_phi,pt_phi,Delta_phi,rho_tot,pr_tot,pt_tot,one_minus_2m_over_r
4.6266331658e+00,1.3664017935e+04,1.4766696910e+03,1.4004915540e+00,-2.8196928158e-27,-8.4590784474e-28,-8.4590784474e-28,1.0000030799e-04,3.4907252680e-14,1.0000002999e+00,1.4993489434e-22,9.5514630852e-28,1.4993537192e-22,-1.4993441677e-22,-1.4993537192e-22,-9.5514659493e-28,1.4993255222e-22,-1.4993526268e-22,-1.4993621782e-22,7.8386010644e-01
4.6816582915e+00,1.3826525806e+04,1.4766696910e+03,1.4021029168e+00,-2.8756451820e-27,-8.6269355461e-28,-8.6269355461e-28,1.0000031368e-04,3.5113789047e-14,1.0000002999e+00,1.4993492280e-22,9.6961462405e-28,1.4993540760e-22,-1.4993443799e-22,-1.4993540760e-22,-9.6961491484e-28,1.4993253196e-22,-1.4993530068e-22,-1.4993627030e-22,7.8640047228e-01
4.7366834171e+00,1.3989033676e+04,1.4766696910e+03,1.4036879947e+00,-2.9318350826e-27,-8.7955052477e-28,-8.7955052477e-28,1.0000031940e-04,3.5321272157e-14,1.0000002999e+00,1.4993495135e-22,9.8420285339e-28,1.4993544345e-22,-1.4993445925e-22,-1.4993544345e-22,-9.8420314853e-28,1.4993251162e-22,-1.4993533880e-22,-1.4993632300e-22,7.8888181625e-01
4.7917085427e+00,1.4151541547e+04,1.4766696910e+03,1.4052145231e+00,-2.9885814582e-27,-8.9657443745e-28,-8.9657443745e-28,1.0000032516e-04,3.5530879830e-14,1.0000002999e+00,1.4993498015e-22,9.9897927084e-28,1.4993547964e-22,-1.4993448066e-22,-1.4993547964e-22,-9.9897957044e-28,1.4993249106e-22,-1.4993537723e-22,-1.4993637621e-22,7.9130617167e-01
4.8467336683e+00,1.4314049417e+04,1.4766696910e+03,1.4067102568e+00,-3.0456436835e-27,-9.1369310505e-28,-9.1369310505e-28,1.0000033095e-04,3.5741616838e-14,1.0000002999e+00,1.4993500908e-22,1.0138911974e-27,1.4993551603e-22,-1.4993450214e-22,-1.4993551603e-22,-1.0138915014e-27,1.4993247038e-22,-1.4993541583e-22,-1.4993642972e-22,7.9367547952e-01
4.9017587940e+00,1.4476557288e+04,1.4766696910e+03,1.4081724166e+00,-3.1030502652e-27,-9.3091507957e-28,-9.3091507957e-28,1.0000033677e-04,3.5953585107e-14,1.0000002999e+00,1.4993503816e-22,1.0289467179e-27,1.4993555264e-22,-1.4993452369e-22,-1.4993555264e-22,-1.0289470265e-27,1.4993244959e-22,-1.4993545461e-22,-1.4993648355e-22,7.9599159362e-01
4.9567839196e+00,1.4639065158e+04,1.4766696910e+03,1.4095857679e+00,-3.1609966500e-27,-9.4829899500e-28,-9.4829899500e-28,1.0000034264e-04,3.6167361363e-14,1.0000002999e+00,1.4993506748e-22,1.0441815077e-27,1.4993558957e-22,-1.4993454539e-22,-1.4993558957e-22,-1.0441818209e-27,1.4993242858e-22,-1.4993549369e-22,-1.4993653787e-22,7.9825628548e-01
5.0118090452e+00,1.4801573029e+04,1.4766696910e+03,1.4109819301e+00,-3.2191370033e-27,-9.6574110098e-28,-9.6574110098e-28,1.0000034852e-04,3.6381775939e-14,1.0000002999e+00,1.4993509688e-22,1.0595306571e-27,1.4993562665e-22,-1.4993456712e-22,-1.4993562665e-22,-1.0595309749e-27,1.4993240751e-22,-1.4993553286e-22,-1.4993659239e-22,8.0047124881e-01
5.0668341709e+00,1.4964080899e+04,1.4766696910e+03,1.4123238517e+00,-3.2779237132e-27,-9.8337711397e-28,-9.8337711397e-28,1.0000035447e-04,3.6598218869e-14,1.0000002999e+00,1.4993512656e-22,1.0750772538e-27,1.4993566410e-22,-1.4993458902e-22,-1.4993566410e-22,-1.0750775762e-27,1.4993238618e-22,-1.4993557240e-22,-1.4993664748e-22,8.0263810374e-01
5.1218592965e+00,1.5126588770e+04,1.4766696910e+03,1.4136474323e+00,-3.3369457447e-27,-1.0010837234e-27,-1.0010837234e-27,1.0000036043e-04,3.6815353841e-14,1.0000002999e+00,1.4993515634e-22,1.0907456178e-27,1.4993570172e-22,-1.4993461097e-22,-1.4993570172e-22,-1.0907459449e-27,1.4993236477e-22,-1.4993561205e-22,-1.4993670280e-22,8.0475840078e-01
5.1768844221e+00,1.5289096640e+04,1.4766696910e+03,1.4149332123e+00,-3.3964527750e-27,-1.0189358325e-27,-1.0189358325e-27,1.0000036643e-04,3.7033915117e-14,1.0000002999e+00,1.4993518633e-22,1.1065810854e-27,1.4993573963e-22,-1.4993463304e-22,-1.4993573963e-22,-1.1065814173e-27,1.4993234317e-22,-1.4993565198e-22,-1.4993675856e-22,8.0683362454e-01
5.2319095477e+00,1.5451604511e+04,1.4766696910e+03,1.4161898561e+00,-3.4563620307e-27,-1.0369086092e-27,-1.0369086092e-27,1.0000037247e-04,3.7253585117e-14,1.0000002999e+00,1.4993521650e-22,1.1225670663e-27,1.4993577778e-22,-1.4993465522e-22,-1.4993577778e-22,-1.1225674029e-27,1.4993232142e-22,-1.4993569213e-22,-1.4993681469e-22,8.0886519714e-01
5.2869346734e+00,1.5614112381e+04,1.4766696910e+03,1.4174219768e+00,-3.5166098283e-27,-1.0549829485e-27,-1.0549829485e-27,1.0000037853e-04,3.7474188299e-14,1.0000002999e+00,1.4993524681e-22,1.1386949398e-27,1.4993581616e-22,-1.4993467747e-22,-1.4993581616e-22,-1.1386952813e-27,1.4993229955e-22,-1.4993573245e-22,-1.4993687114e-22,8.1085448151e-01
5.3419597990e+00,1.5776620252e+04,1.4766696910e+03,1.4186169094e+00,-3.5774096470e-27,-1.0732228941e-27,-1.0732228941e-27,1.0000038465e-04,3.7696217976e-14,1.0000002999e+00,1.4993527737e-22,1.1549966985e-27,1.4993585486e-22,-1.4993469987e-22,-1.4993585486e-22,-1.1549970449e-27,1.4993227746e-22,-1.4993577309e-22,-1.4993692809e-22,8.1280278444e-01
5.3969849246e+00,1.5939128122e+04,1.4766696910e+03,1.4197977348e+00,-3.6384188753e-27,-1.0915256626e-27,-1.0915256626e-27,1.0000039078e-04,3.7918788795e-14,1.0000002999e+00,1.4993530801e-22,1.1714201357e-27,1.4993589372e-22,-1.4993472230e-22,-1.4993589372e-22,-1.1714204869e-27,1.4993225530e-22,-1.4993581382e-22,-1.4993698525e-22,8.1471135940e-01
5.4520100503e+00,1.6101635993e+04,1.4766696910e+03,1.4209357932e+00,-3.7001102939e-27,-1.1100330882e-27,-1.1100330882e-27,1.0000039697e-04,3.8143012541e-14,1.0000002999e+00,1.4993533895e-22,1.1880356413e-27,1.4993593297e-22,-1.4993474493e-22,-1.4993593297e-22,-1.1880359975e-27,1.4993223286e-22,-1.4993585496e-22,-1.4993704300e-22,8.1658140928e-01
5.5070351759e+00,1.6264143863e+04,1.4766696910e+03,1.4220675747e+00,-3.7619018397e-27,-1.1285705519e-27,-1.1285705519e-27,1.0000040318e-04,3.8367478893e-14,1.0000002999e+00,1.4993536993e-22,1.2047574562e-27,1.4993597231e-22,-1.4993476755e-22,-1.4993597231e-22,-1.2047578175e-27,1.4993221041e-22,-1.4993589612e-22,-1.4993710088e-22,8.1841408888e-01
5.5620603015e+00,1.6426651734e+04,1.4766696910e+03,1.4231532354e+00,-3.8244834941e-27,-1.1473450482e-27,-1.1473450482e-27,1.0000040945e-04,3.8593740545e-14,1.0000002999e+00,1.4993540126e-22,1.2216845294e-27,1.4993601210e-22,-1.4993479042e-22,-1.4993601210e-22,-1.2216848957e-27,1.4993218762e-22,-1.4993593776e-22,-1.4993715945e-22,8.2021050730e-01
5.6170854271e+00,1.6589159604e+04,1.4766696910e+03,1.4242354944e+00,-3.8871267216e-27,-1.1661380165e-27,-1.1661380165e-27,1.0000041572e-04,3.8820135301e-14,1.0000002999e+00,1.4993543261e-22,1.2387137850e-27,1.4993605197e-22,-1.4993481325e-22,-1.4993605197e-22,-1.2387141565e-27,1.4993216484e-22,-1.4993597939e-22,-1.4993721811e-22,8.2197173018e-01
5.6721105528e+00,1.6751667475e+04,1.4766696910e+03,1.4252755227e+00,-3.9505464965e-27,-1.1851639490e-27,-1.1851639490e-27,1.0000042206e-04,3.9048185006e-14,1.0000002999e+00,1.4993546430e-22,1.2559435743e-27,1.4993609227e-22,-1.4993483633e-22,-1.4993609227e-22,-1.2559439509e-27,1.4993214173e-22,-1.4993602149e-22,-1.4993727744e-22,8.2369878184e-01
5.7271356784e+00,1.6914175345e+04,1.4766696910e+03,1.4263114080e+00,-4.0140480000e-27,-1.2042144000e-27,-1.2042144000e-27,1.0000042841e-04,3.9276398099e-14,1.0000002999e+00,1.4993549603e-22,1.2732799558e-27,1.4993613267e-22,-1.4993485939e-22,-1.4993613267e-22,-1.2732803376e-27,1.4993211862e-22,-1.4993606360e-22,-1.4993733688e-22,8.2539264719e-01
5.7821608040e+00,1.7076683216e+04,1.4766696910e+03,1.4273085305e+00,-4.0783141736e-27,-1.2234942521e-27,-1.2234942521e-27,1.0000043483e-04,3.9506139878e-14,1.0000002999e+00,1.4993552808e-22,1.2908126246e-27,1.4993617349e-22,-1.4993488268e-22,-1.4993617349e-22,-1.2908130117e-27,1.4993209518e-22,-1.4993610617e-22,-1.4993739699e-22,8.2705427367e-01
5.8371859296e+00,1.7239191086e+04,1.4766696910e+03,1.4283016755e+00,-4.1426644797e-27,-1.2427993439e-27,-1.2427993439e-27,1.0000044125e-04,3.9736039450e-14,1.0000002999e+00,1.4993556018e-22,1.3084538527e-27,1.4993621441e-22,-1.4993490595e-22,-1.4993621441e-22,-1.3084542451e-27,1.4993207174e-22,-1.4993614875e-22,-1.4993745721e-22,8.2868457300e-01
5.8922110553e+00,1.7401698957e+04,1.4766696910e+03,1.4292577501e+00,-4.2077989137e-27,-1.2623396741e-27,-1.2623396741e-27,1.0000044775e-04,3.9967409690e-14,1.0000002999e+00,1.4993559262e-22,1.3262912202e-27,1.4993625576e-22,-1.4993492947e-22,-1.4993625576e-22,-1.3262916180e-27,1.4993204796e-22,-1.4993619181e-22,-1.4993751810e-22,8.3028442284e-01
5.9472361809e+00,1.7564206828e+04,1.4766696910e+03,1.4302115160e+00,-4.2729856858e-27,-1.2818957057e-27,-1.2818957057e-27,1.0000045424e-04,4.0198872033e-14,1.0000002999e+00,1.4993562508e-22,1.3442349796e-27,1.4993629719e-22,-1.4993495296e-22,-1.4993629719e-22,-1.3442353828e-27,1.4993202421e-22,-1.4993623485e-22,-1.4993757909e-22,8.3185466836e-01
6.0022613065e+00,1.7726714698e+04,1.4766696910e+03,1.4311283144e+00,-4.3390105071e-27,-1.3017031521e-27,-1.3017031521e-27,1.0000046081e-04,4.0431809178e-14,1.0000002999e+00,1.4993565790e-22,1.3623786399e-27,1.4993633909e-22,-1.4993497671e-22,-1.4993633909e-22,-1.3623790484e-27,1.4993200008e-22,-1.4993627841e-22,-1.4993764079e-22,8.3339612374e-01
6.0572864322e+00,1.7889222569e+04,1.4766696910e+03,1.4320451128e+00,-4.4050353283e-27,-1.3215105985e-27,-1.3215105985e-27,1.0000046738e-04,4.0664746322e-14,1.0000002999e+00,1.4993569072e-22,1.3806244994e-27,1.4993638104e-22,-1.4993500041e-22,-1.4993638104e-22,-1.3806249134e-27,1.4993197600e-22,-1.4993632192e-22,-1.4993770255e-22,8.3490957359e-01
6.1123115578e+00,1.8051730439e+04,1.4766696910e+03,1.4329250216e+00,-4.4719560248e-27,-1.3415868074e-27,-1.3415868074e-27,1.0000047403e-04,4.0899162905e-14,1.0000002999e+00,1.4993572394e-22,1.3990739440e-27,1.4993642348e-22,-1.4993502440e-22,-1.4993642348e-22,-1.3990743636e-27,1.4993195152e-22,-1.4993636599e-22,-1.4993776506e-22,8.3639577424e-01
6.1673366834e+00,1.8214238310e+04,1.4766696910e+03,1.4338042339e+00,-4.5388936341e-27,-1.3616680902e-27,-1.3616680902e-27,1.0000048068e-04,4.1133607418e-14,1.0000002999e+00,1.4993575716e-22,1.4176293602e-27,1.4993646598e-22,-1.4993504835e-22,-1.4993646598e-22,-1.4176297854e-27,1.4993192708e-22,-1.4993641001e-22,-1.4993782764e-22,8.3785545506e-01
6.2223618090e+00,1.8376746180e+04,1.4766696910e+03,1.4346523573e+00,-4.6066396917e-27,-1.3819919075e-27,-1.3819919075e-27,1.0000048740e-04,4.1369304884e-14,1.0000002999e+00,1.4993579074e-22,1.4363760125e-27,1.4993650892e-22,-1.4993507255e-22,-1.4993650892e-22,-1.4363764432e-27,1.4993190228e-22,-1.4993645454e-22,-1.4993789092e-22,8.3928931960e-01
6.2773869347e+00,1.8539254051e+04,1.4766696910e+03,1.4354955960e+00,-4.6745127730e-27,-1.4023538319e-27,-1.4023538319e-27,1.0000049413e-04,4.1605199213e-14,1.0000002999e+00,1.4993582437e-22,1.4552420991e-27,1.4993655199e-22,-1.4993509675e-22,-1.4993655199e-22,-1.4552425355e-27,1.4993187748e-22,-1.4993649910e-22,-1.4993795434e-22,8.4069804675e-01
6.3324120603e+00,1.8701761921e+04,1.4766696910e+03,1.4363145152e+00,-4.7430627511e-27,-1.4229188253e-27,-1.4229188253e-27,1.0000050092e-04,4.1842078190e-14,1.0000002999e+00,1.4993585829e-22,1.4742835782e-27,1.4993659543e-22,-1.4993512115e-22,-1.4993659543e-22,-1.4742840203e-27,1.4993185237e-22,-1.4993654407e-22,-1.4993801835e-22,8.4208229179e-01
6.3874371859e+00,1.8864269792e+04,1.4766696910e+03,1.4371233188e+00,-4.8118942809e-27,-1.4435682843e-27,-1.4435682843e-27,1.0000050773e-04,4.2079366725e-14,1.0000002999e+00,1.4993589234e-22,1.4934612814e-27,1.4993663907e-22,-1.4993514561e-22,-1.4993663907e-22,-1.4934617293e-27,1.4993182718e-22,-1.4993658918e-22,-1.4993808264e-22,8.4344268744e-01
6.4424623116e+00,1.9026777662e+04,1.4766696910e+03,1.4379154160e+00,-4.8812233224e-27,-1.4643669967e-27,-1.4643669967e-27,1.0000051459e-04,4.2317334588e-14,1.0000002999e+00,1.4993592661e-22,1.5127952571e-27,1.4993668301e-22,-1.4993517021e-22,-1.4993668301e-22,-1.5127957108e-27,1.4993180178e-22,-1.4993663458e-22,-1.4993814737e-22,8.4477984478e-01
6.4974874372e+00,1.9189285533e+04,1.4766696910e+03,1.4386912533e+00,-4.9510365793e-27,-1.4853109738e-27,-1.4853109738e-27,1.0000052149e-04,4.2555963621e-14,1.0000002999e+00,1.4993596109e-22,1.5322853700e-27,1.4993672723e-22,-1.4993519494e-22,-1.4993672723e-22,-1.5322858296e-27,1.4993177619e-22,-1.4993668025e-22,-1.4993821254e-22,8.4609435421e-01
6.5525125628e+00,1.9351793403e+04,1.4766696910e+03,1.4394587258e+00,-5.0211162506e-27,-1.5063348752e-27,-1.5063348752e-27,1.0000052842e-04,4.2794934153e-14,1.0000002999e+00,1.4993599568e-22,1.5519095745e-27,1.4993677164e-22,-1.4993521973e-22,-1.4993677164e-22,-1.5519100399e-27,1.4993175052e-22,-1.4993672606e-22,-1.4993827797e-22,8.4738678630e-01
6.6075376884e+00,1.9514301274e+04,1.4766696910e+03,1.4402029987e+00,-5.0919348248e-27,-1.5275804474e-27,-1.5275804474e-27,1.0000053541e-04,4.3034851833e-14,1.0000002999e+00,1.4993603060e-22,1.5717127502e-27,1.4993681646e-22,-1.4993524474e-22,-1.4993681646e-22,-1.5717132215e-27,1.4993172452e-22,-1.4993677232e-22,-1.4993834404e-22,8.4865769260e-01
6.6625628141e+00,1.9676809144e+04,1.4766696910e+03,1.4409472716e+00,-5.1627533990e-27,-1.5488260197e-27,-1.5488260197e-27,1.0000054239e-04,4.3274769512e-14,1.0000002999e+00,1.4993606552e-22,1.5916267990e-27,1.4993686133e-22,-1.4993526970e-22,-1.4993686133e-22,-1.5916272762e-27,1.4993169858e-22,-1.4993681853e-22,-1.4993841016e-22,8.4990760644e-01
6.7175879397e+00,1.9839317015e+04,1.4766696910e+03,1.4416619194e+00,-5.2345807504e-27,-1.5703742251e-27,-1.5703742251e-27,1.0000054947e-04,4.3515901189e-14,1.0000002999e+00,1.4993610088e-22,1.6117417520e-27,1.4993690675e-22,-1.4993529501e-22,-1.4993690675e-22,-1.6117422353e-27,1.4993167217e-22,-1.4993686538e-22,-1.4993847712e-22,8.5113704369e-01
6.7726130653e+00,2.0001824885e+04,1.4766696910e+03,1.4423759666e+00,-5.3064285535e-27,-1.5919285661e-27,-1.5919285661e-27,1.0000055655e-04,4.3757057477e-14,1.0000002999e+00,1.4993613624e-22,1.6319708706e-27,1.4993695223e-22,-1.4993532026e-22,-1.4993695223e-22,-1.6319713600e-27,1.4993164580e-22,-1.4993691219e-22,-1.4993854416e-22,8.5234650343e-01
6.8276381910e+00,2.0164332756e+04,1.4766696910e+03,1.4430711601e+00,-5.3789624980e-27,-1.6136887494e-27,-1.6136887494e-27,1.0000056369e-04,4.3998989050e-14,1.0000002999e+00,1.4993617191e-22,1.6523706706e-27,1.4993699810e-22,-1.4993534573e-22,-1.4993699810e-22,-1.6523711661e-27,1.4993161914e-22,-1.4993695942e-22,-1.4993861179e-22,8.5353646868e-01
6.8826633166e+00,2.0326840626e+04,1.4766696910e+03,1.4437562601e+00,-5.4518637728e-27,-1.6355591319e-27,-1.6355591319e-27,1.0000057086e-04,4.4241335676e-14,1.0000002999e+00,1.4993620774e-22,1.6729152029e-27,1.4993704420e-22,-1.4993537129e-22,-1.4993704420e-22,-1.6729157046e-27,1.4993159234e-22,-1.4993700684e-22,-1.4993867976e-22,8.5470740700e-01
6.9376884422e+00,2.0489348497e+04,1.4766696910e+03,1.4444336601e+00,-5.5250644413e-27,-1.6575193324e-27,-1.6575193324e-27,1.0000057806e-04,4.4483999951e-14,1.0000002999e+00,1.4993624370e-22,1.6935977828e-27,1.4993709050e-22,-1.4993539691e-22,-1.4993709050e-22,-1.6935982907e-27,1.4993156544e-22,-1.4993705442e-22,-1.4993874802e-22,8.5585977111e-01
6.9927135678e+00,2.0651856367e+04,1.4766696910e+03,1.4450910341e+00,-5.5990437723e-27,-1.6797131317e-27,-1.6797131317e-27,1.0000058532e-04,4.4727490366e-14,1.0000002999e+00,1.4993628001e-22,1.7144579698e-27,1.4993713724e-22,-1.4993542278e-22,-1.4993713724e-22,-1.7144584839e-27,1.4993153819e-22,-1.4993710249e-22,-1.4993881695e-22,8.5699399950e-01
7.0477386935e+00,2.0814364238e+04,1.4766696910e+03,1.4457484081e+00,-5.6730231034e-27,-1.7019069310e-27,-1.7019069310e-27,1.0000059259e-04,4.4970980781e-14,1.0000002999e+00,1.4993631631e-22,1.7354333667e-27,1.4993718403e-22,-1.4993544859e-22,-1.4993718403e-22,-1.7354338871e-27,1.4993151100e-22,-1.4993715050e-22,-1.4993888593e-22,8.5811051693e-01
7.1027638191e+00,2.0976872108e+04,1.4766696910e+03,1.4463829816e+00,-5.7479493234e-27,-1.7243847970e-27,-1.7243847970e-27,1.0000059994e-04,4.5215414585e-14,1.0000002999e+00,1.4993635303e-22,1.7565973515e-27,1.4993723133e-22,-1.4993547473e-22,-1.4993723133e-22,-1.7565978783e-27,1.4993148338e-22,-1.4993719911e-22,-1.4993895571e-22,8.5920973504e-01
7.1577889447e+00,2.1139379979e+04,1.4766696910e+03,1.4470137963e+00,-5.8230316464e-27,-1.7469094939e-27,-1.7469094939e-27,1.0000060730e-04,4.5460003914e-14,1.0000002999e+00,1.4993638981e-22,1.7778898418e-27,1.4993727876e-22,-1.4993550087e-22,-1.4993727876e-22,-1.7778903750e-27,1.4993145573e-22,-1.4993724778e-22,-1.4993902567e-22,8.6029205279e-01
7.2128140704e+00,2.1301887849e+04,1.4766696910e+03,1.4476346187e+00,-5.8985570574e-27,-1.7695671172e-27,-1.7695671172e-27,1.0000061470e-04,4.5705007812e-14,1.0000002999e+00,1.4993642680e-22,1.7993315479e-27,1.4993732646e-22,-1.4993552713e-22,-1.4993732646e-22,-1.7993320875e-27,1.4993142790e-22,-1.4993729670e-22,-1.4993909603e-22,8.6135785697e-01
7.2678391960e+00,2.1464395720e+04,1.4766696910e+03,1.4482399888e+00,-5.9747676701e-27,-1.7924303010e-27,-1.7924303010e-27,1.0000062217e-04,4.5950652810e-14,1.0000002999e+00,1.4993646408e-22,1.8209411383e-27,1.4993737455e-22,-1.4993555361e-22,-1.4993737455e-22,-1.8209416843e-27,1.4993139978e-22,-1.4993734604e-22,-1.4993916698e-22,8.6240752264e-01
7.3228643216e+00,2.1626903591e+04,1.4766696910e+03,1.4488453589e+00,-6.0509782828e-27,-1.8152934848e-27,-1.8152934848e-27,1.0000062963e-04,4.6196297807e-14,1.0000002999e+00,1.4993650136e-22,1.8426685344e-27,1.4993742269e-22,-1.4993558003e-22,-1.4993742269e-22,-1.8426690870e-27,1.4993137172e-22,-1.4993739532e-22,-1.4993923799e-22,8.6344141362e-01
7.3778894472e+00,2.1789411461e+04,1.4766696910e+03,1.4494292869e+00,-6.1282038319e-27,-1.8384611496e-27,-1.8384611496e-27,1.0000063718e-04,4.6442834645e-14,1.0000002999e+00,1.4993653909e-22,1.8645854111e-27,1.4993747138e-22,-1.4993560680e-22,-1.4993747138e-22,-1.8645859703e-27,1.4993134318e-22,-1.4993744526e-22,-1.4993930984e-22,8.6445988285e-01
7.4329145729e+00,2.1951919332e+04,1.4766696910e+03,1.4500102779e+00,-6.2055684043e-27,-1.8616705213e-27,-1.8616705213e-27,1.0000064474e-04,4.6689493645e-14,1.0000002999e+00,1.4993657688e-22,1.8866310191e-27,1.4993752019e-22,-1.4993563356e-22,-1.4993752019e-22,-1.8866315848e-27,1.4993131463e-22,-1.4993749523e-22,-1.4993938186e-22,8.6546327283e-01
7.4879396985e+00,2.2114427202e+04,1.4766696910e+03,1.4505838398e+00,-6.2833082365e-27,-1.8849924710e-27,-1.8849924710e-27,1.0000065234e-04,4.6936462350e-14,1.0000002999e+00,1.4993661483e-22,1.9088208623e-27,1.4993756924e-22,-1.4993566042e-22,-1.4993756924e-22,-1.9088214347e-27,1.4993128593e-22,-1.4993754541e-22,-1.4993945424e-22,8.6645191598e-01
7.5429648241e+00,2.2276935073e+04,1.4766696910e+03,1.4511414699e+00,-6.3618528214e-27,-1.9085558464e-27,-1.9085558464e-27,1.0000066001e-04,4.7184095222e-14,1.0000002999e+00,1.4993665314e-22,1.9311844969e-27,1.4993761873e-22,-1.4993568755e-22,-1.4993761873e-22,-1.9311850760e-27,1.4993125688e-22,-1.4993759610e-22,-1.4993952729e-22,8.6742613504e-01
7.5979899497e+00,2.2439442943e+04,1.4766696910e+03,1.4516991000e+00,-6.4403974062e-27,-1.9321192219e-27,-1.9321192219e-27,1.0000066767e-04,4.7431728095e-14,1.0000002999e+00,1.4993669145e-22,1.9536683028e-27,1.4993766828e-22,-1.4993571461e-22,-1.4993766828e-22,-1.9536688887e-27,1.4993122789e-22,-1.4993764673e-22,-1.4993960040e-22,8.6838624339e-01
7.6530150754e+00,2.2601950814e+04,1.4766696910e+03,1.4522408969e+00,-6.5197952513e-27,-1.9559385754e-27,-1.9559385754e-27,1.0000067541e-04,4.7680022403e-14,1.0000002999e+00,1.4993673013e-22,1.9763271656e-27,1.4993771830e-22,-1.4993574197e-22,-1.4993771830e-22,-1.9763277583e-27,1.4993119850e-22,-1.4993769791e-22,-1.4993967423e-22,8.6933254539e-01
7.7080402010e+00,2.2764458684e+04,1.4766696910e+03,1.4527761398e+00,-6.5995462950e-27,-1.9798638885e-27,-1.9798638885e-27,1.0000068319e-04,4.7928590506e-14,1.0000002999e+00,1.4993676897e-22,1.9991298337e-27,1.4993776854e-22,-1.4993576941e-22,-1.4993776854e-22,-1.9991304332e-27,1.4993116899e-22,-1.4993774927e-22,-1.4993974840e-22,8.7026533672e-01
7.7630653266e+00,2.2926966555e+04,1.4766696910e+03,1.4533103899e+00,-6.6793544015e-27,-2.0038063205e-27,-2.0038063205e-27,1.0000069097e-04,4.8177200159e-14,1.0000002999e+00,1.4993680784e-22,2.0220572895e-27,1.4993781887e-22,-1.4993579681e-22,-1.4993781887e-22,-2.0220578958e-27,1.4993113951e-22,-1.4993780061e-22,-1.4993982267e-22,8.7118490468e-01
7.8180904523e+00,2.3089474425e+04,1.4766696910e+03,1.4538241763e+00,-6.7603387545e-27,-2.0281016264e-27,-2.0281016264e-27,1.0000069885e-04,4.8426666294e-14,1.0000002999e+00,1.4993684722e-22,2.0451784785e-27,1.4993786981e-22,-1.4993582463e-22,-1.4993786981e-22,-2.0451790918e-27,1.4993110947e-22,-1.4993785273e-22,-1.4993989791e-22,8.7209152847e-01
7.8731155779e+00,2.3251982296e+04,1.4766696910e+03,1.4543379627e+00,-6.8413231075e-27,-2.0523969323e-27,-2.0523969323e-27,1.0000070673e-04,4.8676132428e-14,1.0000002999e+00,1.4993688660e-22,2.0684219985e-27,1.4993792081e-22,-1.4993585239e-22,-1.4993792081e-22,-2.0684226188e-27,1.4993107949e-22,-1.4993790479e-22,-1.4993997321e-22,8.7298547950e-01
7.9281407035e+00,2.3414490166e+04,1.4766696910e+03,1.4548448774e+00,-6.9227286459e-27,-2.0768185938e-27,-2.0768185938e-27,1.0000071465e-04,4.8925886652e-14,1.0000002999e+00,1.4993692617e-22,2.0918125282e-27,1.4993797208e-22,-1.4993588026e-22,-1.4993797208e-22,-2.0918131555e-27,1.4993104935e-22,-1.4993795708e-22,-1.4994004889e-22,8.7386702161e-01
7.9831658291e+00,2.3576998037e+04,1.4766696910e+03,1.4553380975e+00,-7.0049735741e-27,-2.1014920722e-27,-2.1014920722e-27,1.0000072264e-04,4.9176215015e-14,1.0000002999e+00,1.4993696611e-22,2.1153751715e-27,1.4993802380e-22,-1.4993590842e-22,-1.4993802380e-22,-2.1153758059e-27,1.4993101882e-22,-1.4993800991e-22,-1.4994012529e-22,8.7473641142e-01
8.0381909548e+00,2.3739505907e+04,1.4766696910e+03,1.4558313176e+00,-7.0872185023e-27,-2.1261655507e-27,-2.1261655507e-27,1.0000073064e-04,4.9426543379e-14,1.0000002999e+00,1.4993700605e-22,2.1390611756e-27,1.4993807558e-22,-1.4993593651e-22,-1.4993807558e-22,-2.1390618171e-27,1.4993098836e-22,-1.4993806268e-22,-1.4994020174e-22,8.7559389847e-01
8.0932160804e+00,2.3902013778e+04,1.4766696910e+03,1.4563133037e+00,-7.1701975109e-27,-2.1510592533e-27,-2.1510592533e-27,1.0000073870e-04,4.9677343428e-14,1.0000002999e+00,1.4993704631e-22,2.1629116539e-27,1.4993812776e-22,-1.4993596485e-22,-1.4993812776e-22,-2.1629123025e-27,1.4993095757e-22,-1.4993811591e-22,-1.4994027882e-22,8.7643972556e-01
8.1482412060e+00,2.4064521648e+04,1.4766696910e+03,1.4567868089e+00,-7.2537307063e-27,-2.1761192119e-27,-2.1761192119e-27,1.0000074680e-04,4.9928499572e-14,1.0000002999e+00,1.4993708681e-22,2.1869172595e-27,1.4993818027e-22,-1.4993599335e-22,-1.4993818027e-22,-2.1869179153e-27,1.4993092654e-22,-1.4993816947e-22,-1.4994035639e-22,8.7727412889e-01
8.2032663317e+00,2.4227029519e+04,1.4766696910e+03,1.4572603140e+00,-7.3372639017e-27,-2.2011791705e-27,-2.2011791705e-27,1.0000075491e-04,5.0179655716e-14,1.0000002999e+00,1.4993712732e-22,2.2110472081e-27,1.4993823284e-22,-1.4993602180e-22,-1.4993823284e-22,-2.2110478711e-27,1.4993089558e-22,-1.4993822298e-22,-1.4994043402e-22,8.7809733836e-01
